grid_x,grid_y,world_x,world_y
40,80,-0.251350,18.036884
41,79,-0.001350,17.786884
42,79,0.248650,17.786884
43,78,0.498650,17.536884
44,77,0.748650,17.286884
45,76,0.998650,17.036884
46,75,1.248650,16.786884
47,74,1.498650,16.536884
48,74,1.748650,16.536884
49,74,1.998650,16.536884
50,74,2.248650,16.536884
51,74,2.498650,16.536884
52,74,2.748650,16.536884
53,74,2.998650,16.536884
54,74,3.248650,16.536884
55,74,3.498650,16.536884
56,74,3.748650,16.536884
57,74,3.998650,16.536884
58,74,4.248650,16.536884
59,74,4.498650,16.536884
60,74,4.748650,16.536884
61,74,4.998650,16.536884
62,74,5.248650,16.536884
63,74,5.498650,16.536884
64,74,5.748650,16.536884
65,74,5.998650,16.536884
66,74,6.248650,16.536884
67,74,6.498650,16.536884
68,74,6.748650,16.536884
69,74,6.998650,16.536884
70,74,7.248650,16.536884
71,74,7.498650,16.536884
72,74,7.748650,16.536884
73,74,7.998650,16.536884
74,74,8.248650,16.536884
75,74,8.498650,16.536884
76,74,8.748650,16.536884
77,74,8.998650,16.536884
78,74,9.248650,16.536884
79,74,9.498650,16.536884
80,74,9.748650,16.536884
81,74,9.998650,16.536884
82,74,10.248650,16.536884
83,74,10.498650,16.536884
84,74,10.748650,16.536884
85,73,10.998650,16.286884
86,72,11.248650,16.036884
87,71,11.498650,15.786884
88,70,11.748650,15.536884
89,69,11.998650,15.286884
90,68,12.248650,15.036884
91,67,12.498650,14.786884
92,66,12.748650,14.536884
93,65,12.998650,14.286884
94,64,13.248650,14.036884
95,63,13.498650,13.786884
96,62,13.748650,13.536884
97,61,13.998650,13.286884
98,60,14.248650,13.036884
99,59,14.498650,12.786884
100,58,14.748650,12.536884
101,57,14.998650,12.286884
102,56,15.248650,12.036884
103,56,15.498650,12.036884
104,56,15.748650,12.036884
105,56,15.998650,12.036884
106,56,16.248650,12.036884
107,56,16.498650,12.036884
108,56,16.748650,12.036884
109,56,16.998650,12.036884
110,56,17.248650,12.036884
111,56,17.498650,12.036884
112,55,17.748650,11.786884
113,55,17.998650,11.786884
114,55,18.248650,11.786884
115,55,18.498650,11.786884
116,55,18.748650,11.786884
117,55,18.998650,11.786884
118,55,19.248650,11.786884
119,55,19.498650,11.786884
120,55,19.748650,11.786884
121,55,19.998650,11.786884
122,55,20.248650,11.786884
123,55,20.498650,11.786884
124,55,20.748650,11.786884
125,55,20.998650,11.786884
126,55,21.248650,11.786884
127,55,21.498650,11.786884
128,55,21.748650,11.786884
129,55,21.998650,11.786884
130,55,22.248650,11.786884
131,55,22.498650,11.786884
132,55,22.748650,11.786884
133,55,22.998650,11.786884
134,55,23.248650,11.786884
135,55,23.498650,11.786884
136,55,23.748650,11.786884
137,55,23.998650,11.786884
138,55,24.248650,11.786884
139,55,24.498650,11.786884
140,55,24.748650,11.786884
141,55,24.998650,11.786884
142,55,25.248650,11.786884
143,55,25.498650,11.786884
144,55,25.748650,11.786884
145,55,25.998650,11.786884
146,55,26.248650,11.786884
147,55,26.498650,11.786884
148,55,26.748650,11.786884
149,55,26.998650,11.786884
150,54,27.248650,11.536884
151,54,27.498650,11.536884
152,54,27.748650,11.536884
153,54,27.998650,11.536884
154,54,28.248650,11.536884
155,54,28.498650,11.536884
156,54,28.748650,11.536884
157,54,28.998650,11.536884
158,54,29.248650,11.536884
159,54,29.498650,11.536884
160,54,29.748650,11.536884
161,54,29.998650,11.536884
162,54,30.248650,11.536884
163,54,30.498650,11.536884
164,54,30.748650,11.536884
165,54,30.998650,11.536884
166,54,31.248650,11.536884
167,54,31.498650,11.536884
168,54,31.748650,11.536884
169,54,31.998650,11.536884
170,54,32.248650,11.536884
171,54,32.498650,11.536884
172,54,32.748650,11.536884
173,54,32.998650,11.536884
174,54,33.248650,11.536884
175,54,33.498650,11.536884
176,53,33.748650,11.286884
177,52,33.998650,11.036884
178,52,34.248650,11.036884
179,51,34.498650,10.786884
180,51,34.748650,10.786884
181,51,34.998650,10.786884
182,51,35.248650,10.786884
183,51,35.498650,10.786884
184,51,35.748650,10.786884
185,51,35.998650,10.786884
186,51,36.248650,10.786884
187,51,36.498650,10.786884
188,51,36.748650,10.786884
189,51,36.998650,10.786884
190,51,37.248650,10.786884
191,51,37.498650,10.786884
192,51,37.748650,10.786884
193,51,37.998650,10.786884
194,51,38.248650,10.786884
195,51,38.498650,10.786884
196,51,38.748650,10.786884
197,51,38.998650,10.786884
198,51,39.248650,10.786884
199,51,39.498650,10.786884
200,50,39.748650,10.536884
201,49,39.998650,10.286884
202,48,40.248650,10.036884
203,47,40.498650,9.786884
204,46,40.748650,9.536884
205,45,40.998650,9.286884
206,44,41.248650,9.036884
207,43,41.498650,8.786884
208,42,41.748650,8.536884
209,41,41.998650,8.286884
210,40,42.248650,8.036884
211,40,42.498650,8.036884
212,40,42.748650,8.036884
213,40,42.998650,8.036884
214,40,43.248650,8.036884
215,40,43.498650,8.036884
216,40,43.748650,8.036884
217,40,43.998650,8.036884
218,40,44.248650,8.036884
219,40,44.498650,8.036884
220,40,44.748650,8.036884
