global_index,local_index,x,y,yaw,dir
72,0,6.90672,9.88968,-0.776779,1
73,1,6.97013,9.82734,-0.776779,1
74,2,7.03355,9.76501,-0.776779,1
75,3,7.09696,9.70268,-0.776779,1
76,4,7.16038,9.64035,-0.773963,1
77,5,7.22415,9.57802,-0.773963,1
78,6,7.28793,9.51569,-0.773963,1
79,7,7.3517,9.45336,-0.773963,1
80,8,7.41547,9.39102,-0.773872,1
81,9,7.47926,9.3287,-0.773872,1
82,10,7.54304,9.26637,-0.773872,1
83,11,7.60682,9.20404,-0.773872,1
84,12,7.6706,9.14171,-0.776462,1
85,13,7.73405,9.07939,-0.776462,1
86,14,7.79749,9.01707,-0.776462,1
87,15,7.86094,8.95475,-0.776462,1
88,16,7.92438,8.89242,-0.782823,1
89,17,7.98701,8.83012,-0.782823,1
90,18,8.04964,8.76781,-0.782823,1
91,19,8.11227,8.7055,-0.782823,1
92,20,8.1749,8.64319,-0.795723,1
